Jonathan Taylor (IND - RB) ,@HOU,Sun 1:00PM,IND -9,,45.5,27.5,1,1,0,26.1,9200,353,20-30%
,,,,,,,,,,,,,
Austin Ekeler (LAC - RB) ,@CIN,Sun 1:00PM,CIN -3,,50.5,24,2,2,0,19.5,8300,425,5-10%
,,,,,,,,,,,,,
Joe Mixon (CIN - RB) ,LAC,Sun 1:00PM,CIN -3,,50.5,27,3,3,0,18.8,8100,431,5-10%
,,,,,,,,,,,,,
Najee Harris (PIT - RB) ,BAL,Sun 4:25PM,BAL -4.5,,44,20,4,5,1,17.9,7700,429,5-10%
,,,,,,,,,,,,,
Leonard Fournette (TB - RB) ,@ATL,Sun 1:00PM,TB -11,,50.5,31,5,7,2,16.7,7300,438,10-20%
,,,,,,,,,,,,,
Elijah Mitchell (SF - RB) ,@SEA,Sun 4:25PM,SF -3.5,,45.5,24.5,6,14,8,15.8,6000,379,1-5%
,,,,,,,,,,,,,
Alexander Mattison (MIN - RB) ,@DET,Sun 1:00PM,MIN -7,,46.5,27,7,6,-1,15.4,7600,493,1-5%
,,,,,,,,,,,,,
James Conner (ARI - RB) ,@CHI,Sun 1:00PM,ARI -7.5,,45.5,26.5,8,15,7,14.5,5900,407,5-10%
,,,,,,,,,,,,,
James Robinson (JAC - RB) ,@LAR,Sun 4:05PM,LAR -12.5,,47.5,17.5,9,11,2,14.3,6200,433,1-5%
,,,,,,,,,,,,,
Antonio Gibson (WAS - RB) ,@LV,Sun 4:05PM,LV -2.5,,49.5,23.5,10,17,7,14.2,5700,400,1-5%
,,,,,,,,,,,,,
Darrell Henderson Jr. (LAR - RB) ,JAC,Sun 4:05PM,LAR -12.5,,47.5,30,11,12,1,14.1,6100,434,5-10%
,,,,,,,,,,,,,
Saquon Barkley (NYG - RB) ,@MIA,Sun 1:00PM,MIA -4,,40.5,18.5,12,10,-2,14,6300,451,1-5%
,,,,,,,,,,,,,
David Montgomery (CHI - RB) ,ARI,Sun 1:00PM,ARI -7.5,,45.5,19,13,18,5,13.8,5600,406,1-5%
,,,,,,,,,,,,,
Myles Gaskin (MIA - RB) ,NYG,Sun 1:00PM,MIA -4,,40.5,22.5,14,16,2,13.3,5800,436,1-5%
,,,,,,,,,,,,,
Josh Jacobs (LV - RB) ,WAS,Sun 4:05PM,LV -2.5,,49.5,26,15,13,-2,12.7,6000,472,1-5%
,,,,,,,,,,,,,
Miles Sanders (PHI - RB) ,@NYJ,Sun 1:00PM,PHI -6.5,,45.5,26,16,22,6,12.5,5200,417,1-5%
,,,,,,,,,,,,,
Cordarrelle Patterson (ATL - RB) ,TB,Sun 1:00PM,TB -11,,50.5,20,17,8,-9,12.3,7000,568,1-5%
,,,,,,,,,,,,,
Jamaal Williams (DET - RB) ,MIN,Sun 1:00PM,MIN -7,,46.5,20,18,20,2,11.5,5400,470,1-5%
,,,,,,,,,,,,,
Boston Scott (PHI - RB) ,@NYJ,Sun 1:00PM,PHI -6.5,,45.5,26,19,37,18,9.9,4600,464,1-5%
,,,,,,,,,,,,,
Devonta Freeman (BAL - RB) ,@PIT,Sun 4:25PM,BAL -4.5,,44,24.5,20,19,-1,9.8,5500,560,1-5%
,,,,,,,,,,,,,
Tevin Coleman (NYJ - RB) ,PHI,Sun 1:00PM,PHI -6.5,,45.5,19.5,21,40,19,9.2,4500,489,1-5%
,,,,,,,,,,,,,
Alex Collins (SEA - RB) ,SF,Sun 4:25PM,SF -3.5,,45.5,21,22,24,2,9.2,5100,553,1-5%
,,,,,,,,,,,,,
Rex Burkhead (HOU - RB) ,IND,Sun 1:00PM,IND -9,,45.5,18.5,23,31,8,8.9,4800,539,1-5%
,,,,,,,,,,,,,
Ty Johnson (NYJ - RB) ,PHI,Sun 1:00PM,PHI -6.5,,45.5,19.5,24,38,14,8.7,4600,526,1-5%
,,,,,,,,,,,,,
J.D. McKissic (WAS - RB) ,@LV,Sun 4:05PM,LV -2.5,,49.5,23.5,25,26,1,8.5,5000,588,1-5%
,,,,,,,,,,,,,
Nyheim Hines (IND - RB) ,@HOU,Sun 1:00PM,IND -9,,45.5,27.5,26,76,50,8.5,4000,471,1-5%
,,,,,,,,,,,,,
Latavius Murray (BAL - RB) ,@PIT,Sun 4:25PM,BAL -4.5,,44,24.5,27,23,-4,8.3,5100,615,1-5%
,,,,,,,,,,,,,
David Johnson (HOU - RB) ,IND,Sun 1:00PM,IND -9,,45.5,18.5,28,25,-3,8.2,5000,607,1-5%
,,,,,,,,,,,,,
Kenyan Drake (LV - RB) ,WAS,Sun 4:05PM,LV -2.5,,49.5,26,29,41,12,7.9,4400,559,1-5%
,,,,,,,,,,,,,
Jeff Wilson Jr. (SF - RB) ,@SEA,Sun 4:25PM,SF -3.5,,45.5,24.5,30,32,2,7.7,4800,627,1-5%
,,,,,,,,,,,,,
DeeJay Dallas (SEA - RB) ,SF,Sun 4:25PM,SF -3.5,,45.5,21,31,30,-1,7.5,4900,655,1-5%
,,,,,,,,,,,,,
Sony Michel (LAR - RB) ,JAC,Sun 4:05PM,LAR -12.5,,47.5,30,32,42,10,6.8,4300,636,1-5%
,,,,,,,,,,,,,
Mike Davis (ATL - RB) ,TB,Sun 1:00PM,TB -11,,50.5,20,33,33,0,6.7,4700,703,1-5%
,,,,,,,,,,,,,
Ronald Jones II (TB - RB) ,@ATL,Sun 1:00PM,TB -11,,50.5,31,34,27,-7,6.4,5000,777,1-5%
,,,,,,,,,,,,,
Devontae Booker (NYG - RB) ,@MIA,Sun 1:00PM,MIA -4,,40.5,18.5,35,29,-6,6.1,4900,806,1-5%
,,,,,,,,,,,,,
Carlos Hyde (JAC - RB) ,@LAR,Sun 4:05PM,LAR -12.5,,47.5,17.5,36,45,9,5.8,4200,720,0
,,,,,,,,,,,,,
D'Andre Swift (DET - RB) ,MIN,Sun 1:00PM,MIN -7,,46.5,20,39,9,-30,5.5,6600,1200,1-5%
,,,,,,,,,,,,,
Giovani Bernard (TB - RB) ,@ATL,Sun 1:00PM,TB -11,,50.5,31,37,28,-9,5.5,4900,899,1-5%
,,,,,,,,,,,,,
Samaje Perine (CIN - RB) ,LAC,Sun 1:00PM,CIN -3,,50.5,27,38,65,27,5.5,4000,726,1-5%
,,,,,,,,,,,,,
Kenneth Gainwell (PHI - RB) ,@NYJ,Sun 1:00PM,PHI -6.5,,45.5,26,40,49,9,5.4,4200,779,1-5%
,,,,,,,,,,,,,
Phillip Lindsay (MIA - RB) ,NYG,Sun 1:00PM,MIA -4,,40.5,22.5,41,46,5,4.9,4200,859,1-5%
,,,,,,,,,,,,,
Khalil Herbert (CHI - RB) ,ARI,Sun 1:00PM,ARI -7.5,,45.5,19,42,43,1,4.9,4300,881,0
,,,,,,,,,,,,,
Jermar Jefferson (DET - RB) ,MIN,Sun 1:00PM,MIN -7,,46.5,20,44,39,-5,4.7,4600,988,0
,,,,,,,,,,,,,
Kene Nwangwu (MIN - RB) ,@DET,Sun 1:00PM,MIN -7,,46.5,27,45,44,-1,4.7,4300,916,0
,,,,,,,,,,,,,
Eno Benjamin (ARI - RB) ,@CHI,Sun 1:00PM,ARI -7.5,,45.5,26.5,43,103,60,4.7,4000,846,1-5%
,,,,,,,,,,,,,
Kyle Juszczyk (SF - RB) ,@SEA,Sun 4:25PM,SF -3.5,,45.5,24.5,46,51,5,4.5,4000,896,1-5%
,,,,,,,,,,,,,
Jaret Patterson (WAS - RB) ,@LV,Sun 4:05PM,LV -2.5,,49.5,23.5,47,124,77,4.3,4000,937,0
,,,,,,,,,,,,,
Chris Evans (CIN - RB) ,LAC,Sun 1:00PM,CIN -3,,50.5,27,48,128,80,4.2,4000,951,0
,,,,,,,,,,,,,
Wayne Gallman Jr. (ATL - RB) ,TB,Sun 1:00PM,TB -11,,50.5,20,49,64,15,4.1,4000,977,0
,,,,,,,,,,,,,
Salvon Ahmed (MIA - RB) ,NYG,Sun 1:00PM,MIA -4,,40.5,22.5,50,108,58,3.9,4000,1033,0
,,,,,,,,,,,,,
Joshua Kelley (LAC - RB) ,@CIN,Sun 1:00PM,CIN -3,,50.5,24,51,107,56,3.8,4000,1058,0
,,,,,,,,,,,,,
Austin Walter (NYJ - RB) ,PHI,Sun 1:00PM,PHI -6.5,,45.5,19.5,52,48,-4,3.7,4200,1129,1-5%
,,,,,,,,,,,,,
Benny Snell Jr. (PIT - RB) ,BAL,Sun 4:25PM,BAL -4.5,,44,20,53,93,40,3.6,4000,1108,0
,,,,,,,,,,,,,
Kalen Ballage (PIT - RB) ,BAL,Sun 4:25PM,BAL -4.5,,44,20,54,74,20,3.4,4000,1191,0
,,,,,,,,,,,,,
Jalen Richard (LV - RB) ,WAS,Sun 4:05PM,LV -2.5,,49.5,26,55,61,6,3.3,4000,1228,0
,,,,,,,,,,,,,
Qadree Ollison (ATL - RB) ,TB,Sun 1:00PM,TB -11,,50.5,20,56,90,34,3.2,4000,1238,0
,,,,,,,,,,,,,
Godwin Igwebuike (DET - RB) ,MIN,Sun 1:00PM,MIN -7,,46.5,20,58,79,21,3,4000,1347,1-5%
,,,,,,,,,,,,,
Justin Jackson (LAC - RB) ,@CIN,Sun 1:00PM,CIN -3,,50.5,24,57,77,20,3,4000,1335,0
,,,,,,,,,,,,,
C.J. Ham (MIN - RB) ,@DET,Sun 1:00PM,MIN -7,,46.5,27,59,62,3,2.9,4000,1370,0
,,,,,,,,,,,,,
Anthony McFarland Jr. (PIT - RB) ,BAL,Sun 4:25PM,BAL -4.5,,44,20,60,104,44,2.8,4000,1436,0
,,,,,,,,,,,,,
Larry Rountree III (LAC - RB) ,@CIN,Sun 1:00PM,CIN -3,,50.5,24,61,110,49,2.7,4000,1468,0
,,,,,,,,,,,,,
Ty'Son Williams (BAL - RB) ,@PIT,Sun 4:25PM,BAL -4.5,,44,24.5,62,115,53,2.7,4000,1470,0
,,,,,,,,,,,,,
Dare Ogunbowale (JAC - RB) ,@LAR,Sun 4:05PM,LAR -12.5,,47.5,17.5,63,69,6,2.5,4000,1627,0
,,,,,,,,,,,,,
Patrick Laird (MIA - RB) ,NYG,Sun 1:00PM,MIA -4,,40.5,22.5,64,89,25,2.5,4000,1583,0
,,,,,,,,,,,,,
Elijhaa Penny (NYG - RB) ,@MIA,Sun 1:00PM,MIA -4,,40.5,18.5,66,63,-3,2.4,4000,1633,0
,,,,,,,,,,,,,
Duke Johnson Jr. (MIA - RB) ,NYG,Sun 1:00PM,MIA -4,,40.5,22.5,65,54,-11,2.4,4000,1655,0
,,,,,,,,,,,,,
Jordan Howard (PHI - RB) ,@NYJ,Sun 1:00PM,PHI -6.5,,45.5,26,67,34,-33,2.3,4700,2069,1-5%
,,,,,,,,,,,,,
Chase Edmonds (ARI - RB) ,@CHI,Sun 1:00PM,ARI -7.5,,45.5,26.5,69,35,-34,2.3,4700,2066,0
 I,,,,,,,,,,,,,
Marlon Mack (IND - RB) ,@HOU,Sun 1:00PM,IND -9,,45.5,27.5,68,66,-2,2.3,4000,1756,0
,,,,,,,,,,,,,
Darius Bradwell (LAC - RB) ,@CIN,Sun 1:00PM,CIN -3,,50.5,24,70,109,39,2.3,4000,1738,0
,,,,,,,,,,,,,
Patrick Ricard (BAL - RB) ,@PIT,Sun 4:25PM,BAL -4.5,,44,24.5,71,70,-1,2.1,4000,1947,0
,,,,,,,,,,,,,
Travis Homer (SEA - RB) ,SF,Sun 4:25PM,SF -3.5,,45.5,21,72,47,-25,2.1,4200,1956,0
,,,,,,,,,,,,,
Keith Smith (ATL - RB) ,TB,Sun 1:00PM,TB -11,,50.5,20,73,53,-20,2,4000,1998,0
,,,,,,,,,,,,,
JaMycal Hasty (SF - RB) ,@SEA,Sun 4:25PM,SF -3.5,,45.5,24.5,74,114,40,1.8,4000,2222,1-5%
,,,,,,,,,,,,,
Tarik Cohen (CHI - RB) ,ARI,Sun 1:00PM,ARI -7.5,,45.5,19,75,67,-8,1.7,4000,2319,0
 P,,,,,,,,,,,,,
Rashaad Penny (SEA - RB) ,SF,Sun 4:25PM,SF -3.5,,45.5,21,76,78,2,1.5,4000,2691,0
,,,,,,,,,,,,,
Derek Watt (PIT - RB) ,BAL,Sun 4:25PM,BAL -4.5,,44,20,77,59,-18,1.3,4000,3002,0
,,,,,,,,,,,,,
Royce Freeman (HOU - RB) ,IND,Sun 1:00PM,IND -9,,45.5,18.5,78,73,-5,1.3,4000,3012,0
,,,,,,,,,,,,,
Nick Bawden (NYJ - RB) ,PHI,Sun 1:00PM,PHI -6.5,,45.5,19.5,79,83,4,1.1,4000,3638,0
,,,,,,,,,,,,,
Trenton Cannon (SF - RB) ,@SEA,Sun 4:25PM,SF -3.5,,45.5,24.5,80,82,2,0.9,4000,0,0
,,,,,,,,,,,,,
Ryan Nall (CHI - RB) ,ARI,Sun 1:00PM,ARI -7.5,,45.5,19,81,86,5,0.9,4000,0,0
,,,,,,,,,,,,,
Damien Williams (CHI - RB) ,ARI,Sun 1:00PM,ARI -7.5,,45.5,19,82,52,-30,0.8,4000,0,0
,,,,,,,,,,,,,
Deon Jackson (IND - RB) ,@HOU,Sun 1:00PM,IND -9,,45.5,27.5,83,122,39,0.7,4000,0,0
,,,,,,,,,,,,,
Peyton Barber (LV - RB) ,WAS,Sun 4:05PM,LV -2.5,,49.5,26,84,60,-24,0.6,4000,0,0
,,,,,,,,,,,,,
Ke'Shawn Vaughn (TB - RB) ,@ATL,Sun 1:00PM,TB -11,,50.5,31,85,102,17,0.6,4000,0,0
,,,,,,,,,,,,,
Gary Brightwell (NYG - RB) ,@MIA,Sun 1:00PM,MIA -4,,40.5,18.5,87,131,44,0.5,4000,0,0
,,,,,,,,,,,,,
La'Mical Perine (NYJ - RB) ,PHI,Sun 1:00PM,PHI -6.5,,45.5,19.5,86,101,15,0.5,4000,0,0
,,,,,,,,,,,,,
Nick Bellore (SEA - RB) ,SF,Sun 4:25PM,SF -3.5,,45.5,21,88,50,-38,0.4,4000,0,0
,,,,,,,,,,,,,
Buddy Howell (LAR - RB) ,JAC,Sun 4:05PM,LAR -12.5,,47.5,30,89,84,-5,0.4,4000,0,0
,,,,,,,,,,,,,
Caleb Huntley (ATL - RB) ,TB,Sun 1:00PM,TB -11,,50.5,20,113,105,-8,0,4000,0,0
,,,,,,,,,,,,,
Darwin Thompson (TB - RB) ,@ATL,Sun 1:00PM,TB -11,,50.5,31,106,94,-12,0,4000,0,0
,,,,,,,,,,,,,
Scottie Phillips (HOU - RB) ,IND,Sun 1:00PM,IND -9,,45.5,18.5,117,112,-5,0,4000,0,0
 I,,,,,,,,,,,,,
Javian Hawkins (LAR - RB) ,JAC,Sun 4:05PM,LAR -12.5,,47.5,30,129,127,-2,0,4000,0,0
,,,,,,,,,,,,,
Mekhi Sargent (LAR - RB) ,JAC,Sun 4:05PM,LAR -12.5,,47.5,30,125,123,-2,0,4000,0,0
,,,,,,,,,,,,,
Josh Johnson (SEA - RB) ,SF,Sun 4:25PM,SF -3.5,,45.5,21,134,134,0,0,4000,0,0
,,,,,,,,,,,,,
Craig Reynolds (DET - RB) ,MIN,Sun 1:00PM,MIN -7,,46.5,20,109,97,-12,0,4000,0,0
,,,,,,,,,,,,,
Sandro Platzgummer (NYG - RB) ,@MIA,Sun 1:00PM,MIA -4,,40.5,18.5,127,126,-1,0,4000,0,0
,,,,,,,,,,,,,
Nate McCrary (BAL - RB) ,@PIT,Sun 4:25PM,BAL -4.5,,44,24.5,135,135,0,0,4000,0,0
,,,,,,,,,,,,,
Malcolm Brown (MIA - RB) ,NYG,Sun 1:00PM,MIA -4,,40.5,22.5,90,55,-35,0,4000,0,0
 I,,,,,,,,,,,,,
Raheem Mostert (SF - RB) ,@SEA,Sun 4:25PM,SF -3.5,,45.5,24.5,91,56,-35,0,4000,0,0
 I,,,,,,,,,,,,,
Trey Edmunds (PIT - RB) ,BAL,Sun 4:25PM,BAL -4.5,,44,20,96,71,-25,0,4000,0,0
,,,,,,,,,,,,,
Jonathan Williams (NYG - RB) ,@MIA,Sun 1:00PM,MIA -4,,40.5,18.5,92,57,-35,0,4000,0,0
,,,,,,,,,,,,,
Wendell Smallwood (WAS - RB) ,@LV,Sun 4:05PM,LV -2.5,,49.5,23.5,93,58,-35,0,4000,0,0
,,,,,,,,,,,,,
Gus Edwards (BAL - RB) ,@PIT,Sun 4:25PM,BAL -4.5,,44,24.5,101,85,-16,0,4000,0,0
 I,,,,,,,,,,,,,
Jordan Wilkins (JAC - RB) ,@LAR,Sun 4:05PM,LAR -12.5,,47.5,17.5,100,81,-19,0,4000,0,0
,,,,,,,,,,,,,
Dalvin Cook (MIN - RB) ,@DET,Sun 1:00PM,MIN -7,,46.5,27,94,4,-90,0,8000,0,0
 O,,,,,,,,,,,,,
Jaylen Samuels (HOU - RB) ,IND,Sun 1:00PM,IND -9,,45.5,18.5,98,75,-23,0,4000,0,0
,,,,,,,,,,,,,
Cullen Gillaspia (NYG - RB) ,@MIA,Sun 1:00PM,MIA -4,,40.5,18.5,108,96,-12,0,4000,0,0
,,,,,,,,,,,,,
Jason Cabinda (DET - RB) ,MIN,Sun 1:00PM,MIN -7,,46.5,20,99,80,-19,0,4000,0,0
,,,,,,,,,,,,,
Derrius Guice (WAS - RB) ,@LV,Sun 4:05PM,LV -2.5,,49.5,23.5,97,72,-25,0,4000,0,0
,,,,,,,,,,,,,
Jake Bargas (MIN - RB) ,@DET,Sun 1:00PM,MIN -7,,46.5,27,123,120,-3,0,4000,0,0
,,,,,,,,,,,,,
Nathan Cottrell (JAC - RB) ,@LAR,Sun 4:05PM,LAR -12.5,,47.5,17.5,121,118,-3,0,4000,0,0
,,,,,,,,,,,,,
Alec Ingold (LV - RB) ,WAS,Sun 4:05PM,LV -2.5,,49.5,26,104,91,-13,0,4000,0,0
 I,,,,,,,,,,,,,
Chris Carson (SEA - RB) ,SF,Sun 4:25PM,SF -3.5,,45.5,21,95,68,-27,0,4000,0,0
 I,,,,,,,,,,,,,
Sutton Smith (LV - RB) ,WAS,Sun 4:05PM,LV -2.5,,49.5,26,107,95,-12,0,4000,0,0
,,,,,,,,,,,,,
Trayveon Williams (CIN - RB) ,LAC,Sun 1:00PM,CIN -3,,50.5,27,105,92,-13,0,4000,0,0
,,,,,,,,,,,,,
Gerrid Doaks (MIA - RB) ,NYG,Sun 1:00PM,MIA -4,,40.5,22.5,131,130,-1,0,4000,0,0
,,,,,,,,,,,,,
Jonathan Ward (ARI - RB) ,@CHI,Sun 1:00PM,ARI -7.5,,45.5,26.5,120,117,-3,0,4000,0,0
,,,,,,,,,,,,,
Tavien Feaster (ARI - RB) ,@CHI,Sun 1:00PM,ARI -7.5,,45.5,26.5,115,106,-9,0,4000,0,0
,,,,,,,,,,,,,
Jake Funk (LAR - RB) ,JAC,Sun 4:05PM,LAR -12.5,,47.5,30,130,129,-1,0,4000,0,0
 I,,,,,,,,,,,,,
Jason Huntley (PHI - RB) ,@NYJ,Sun 1:00PM,PHI -6.5,,45.5,26,119,116,-3,0,4000,0,0
,,,,,,,,,,,,,
A.J. Rose Jr. (MIN - RB) ,@DET,Sun 1:00PM,MIN -7,,46.5,27,132,132,0,0,4000,0,0
,,,,,,,,,,,,,
Elijah Holyfield (CIN - RB) ,LAC,Sun 1:00PM,CIN -3,,50.5,27,103,88,-15,0,4000,0,0
,,,,,,,,,,,,,
Justice Hill (BAL - RB) ,@PIT,Sun 4:25PM,BAL -4.5,,44,24.5,102,87,-15,0,4000,0,0
 O,,,,,,,,,,,,,
Artavis Pierce (CHI - RB) ,ARI,Sun 1:00PM,ARI -7.5,,45.5,19,116,111,-5,0,4000,0,0
,,,,,,,,,,,,,
Raymond Calais (LAR - RB) ,JAC,Sun 4:05PM,LAR -12.5,,47.5,30,118,113,-5,0,4000,0,0
,,,,,,,,,,,,,
Trey Ragas (LV - RB) ,WAS,Sun 4:05PM,LV -2.5,,49.5,26,126,125,-1,0,4000,0,0
,,,,,,,,,,,,,
B.J. Emmons (SEA - RB) ,SF,Sun 4:25PM,SF -3.5,,45.5,21,133,133,0,0,4000,0,0
,,,,,,,,,,,,,
Gabe Nabers (LAC - RB) ,@CIN,Sun 1:00PM,CIN -3,,50.5,24,122,119,-3,0,4000,0,0
,,,,,,,,,,,,,
Josh Hokit (SF - RB) ,@SEA,Sun 4:25PM,SF -3.5,,45.5,24.5,124,121,-3,0,4000,0,0
,,,,,,,,,,,,,
Trey Sermon (SF - RB) ,@SEA,Sun 4:25PM,SF -3.5,,45.5,24.5,114,36,-78,0,4700,0,0
 O,,,,,,,,,,,,,
Cam Akers (LAR - RB) ,JAC,Sun 4:05PM,LAR -12.5,,47.5,30,112,100,-12,0,4000,0,0
 I,,,,,,,,,,,,,
Michael Carter (NYJ - RB) ,PHI,Sun 1:00PM,PHI -6.5,,45.5,19.5,128,21,-107,0,5300,0,0
 I,,,,,,,,,,,,,
J.K. Dobbins (BAL - RB) ,@PIT,Sun 4:25PM,BAL -4.5,,44,24.5,111,99,-12,0,4000,0,0
 I,,,,,,,,,,,,,
Travis Etienne Jr. (JAC - RB) ,@LAR,Sun 4:05PM,LAR -12.5,,47.5,17.5,110,98,-12,0,4000,0,0
 I,,,,,,,,,,,,,
